ID,Description,Type,Category,Reference,Year,DOI,Mbasis,Moisture,Pbasis,FC,VM,Ash,HHV,LHV,Cellulose,Hemicellulose,Lignin,Ubasis,C,H,O,N,S,Cl,SiO2,CaO,Al2O3,Fe2O3,Na2O,K2O,MgO,P2O5,TiO2,SO3,Cr2O3
CoalA,Coal from Shanxi Province in China,Coal,,Song et al.,2013.0,10.1016/j.fuproc.2013.03.045,db,1.07,db,68.36,6.22,25.42,,25.07,,,,daf,87.94,3.22,5.32,1.1,2.42,,,,,,,,,,,,
CoalCoke,Coal-coke (50 %wt),Coal,,Hernandez et al.,2010.0,10.1021/ef901585f,wb,0.91,db,59.49,14.81,25.7,,22.5,,,,db,61.51,3.13,5.23,1.5,2.94,,52.05,4.41,25.1,4.4,0.46,2.34,0.78,0.07,0.64,2.04,
CoalDT,High volatile bituminous coal from China,Coal,Bituminous,Fermoso et al.,2010.0,10.1016/j.biortech.2009.12.035,,,db,60.1,29.0,10.9,32.4,,,,,daf,81.9,5.0,11.1,0.8,1.2,,,,,,,,,,,,
CoalHV,Semianthracite coal from Spain,Coal,Anthracite,Fermoso et al.,2010.0,10.1016/j.biortech.2009.12.035,,,db,82.6,8.6,8.8,35.1,,,,,daf,90.6,2.8,3.0,1.7,1.9,,,,,,,,,,,,
CoalPT,High volatile bituminous coal from Spain,Coal,Bituminous,Fermoso et al.,2010.0,10.1016/j.biortech.2009.12.035,,,db,39.0,24.7,36.3,29.1,,,,,daf,71.2,4.8,20.8,1.5,1.7,,,,,,,,,,,,
CoalSA,Medium volatile bituminous coal from South Africa,Coal,Bituminous,Fermoso et al.,2010.0,10.1016/j.biortech.2009.12.035,,,db,59.5,25.6,14.9,32.9,,,,,daf,78.6,4.9,13.9,1.9,0.7,,,,,,,,,,,,
CoalTest,Coal for test,Coal,,Hoffmann,2005.0,,wb,9.07,db,55.44,36.97,7.59,30.0,,,,,db,78.03,5.06,5.66,1.69,1.97,,,,,,,,,,,,
Coconut,Coconut residue,Biomass,Agricultural,Andrade et al.,2004.0,10.1590/S0100-67622004000500010,wb,85.0,db,79.7,10.2,10.3,22.807,,,,,db,48.23,5.23,33.19,2.98,0.12,,,,,,,,,,,,
Corn,Corn stover,Biomass,Agricultural,Carpenter et al.,2010.0,10.1021/ie900595m,wb,6.34,db,16.7,71.8,11.4,17.23,,,,,wb,43.3,5.0,33.7,0.8,0.06,0.25,65.0,4.64,0.67,1.04,0.88,16.8,1.86,2.17,0.18,0.8,
Cypress,Cypress sawdust,Biomass,Wood,Li et al.,2004.0,10.1016/S0961-9534(03)00084-9,db,15.85,db,,,0.7,20.3,,,,,db,51.6,6.2,40.4,0.65,0.46,,,,,,,,,,,,
GrapeMarc,Dealcoholized grape marc,Biomass,Agricultural,Hernandez et al.,2010.0,10.1021/ef901585f,wb,7.24,db,27.28,65.7,7.0,,20.23,,,,db,51.2,5.53,33.62,2.48,0.17,,7.53,22.53,2.08,1.4,0.53,29.1,3.77,6.95,0.14,4.97,
GrapeStalk,Grape stalk,Biomass,Agricultural,Baratieri et al.,2008.0,10.1016/j.biortech.2008.01.006,wb,8.0,wb,,,4.8,,16.7,,,,wb,41.3,6.2,39.6,0.1,,,,,,,,,,,,,
Hemlock,Hemlock sawdust,Biomass,Wood,Li et al.,2004.0,10.1016/S0961-9534(03)00084-9,db,11.9,db,,,0.4,20.3,,,,,db,51.8,6.2,40.6,0.6,0.38,,,,,,,,,,,,
HighAshCoal,Brazilian subbituminous coal (average values),Coal,Subbituminous,Kalkreuth et al.,2006.0,10.1016/j.coal.2005.10.006,wb,11.06,db,25.09,20.29,42.71,13.38613,,,,,daf,59.29,6.162,29.62,1.083,3.818,0.023,29.54,1.02,9.02,4.21,0.16,0.7,0.41,0.03,0.36,2.28,
Highvale,Highvale subbituminous coal,Coal,Subbituminous,Li et al.,2001.0,10.1016/S0016-2361(00)00074-0,wb,9.0,wb,30.2,43.4,13.4,21.1,,,,,wb,57.2,3.3,16.2,0.7,0.2,,,,,,,,,,,,
IndonesianCoal,Indonesian tinto coal,Coal,,Seo et al.,2010.0,10.1021/ef100204s,wb,3.12,wb,50.86,34.64,11.38,28.01,,,,,daf,74.6,4.72,19.33,1.07,0.28,,41.4,6.36,17.79,28.21,0.24,2.5,2.9,,,,
JapaneseCedar,Japanese cedar,Biomass,Wood,Kumabe et al.,2007.0,10.1016/j.fuel.2006.08.026,wb,5.2,wb,11.8,82.4,0.6,19.7,,,,,daf,47.3,6.1,46.5,0.1,0.0,,,,,,,,,,,,
Leather,Footwear leather waste,Biomass,Animal,Godinho et al.,2007.0,hdl.handle.net/10183/8958,wb,14.1,db,16.9,77.3,5.8,18.448,16.729,,,,daf,50.72,8.76,25.4,12.78,1.88,0.46,23.58,1.2,7.35,2.59,1.08,0.79,,1.59,1.53,,55.91
Leather1,Leather residue,Biomass,Animal,Dogru et al,,,wb,11.23,db,,,4.89,,,,,,db,43.59,6.95,32.28,10.84,1.45,,,,,,,,,,,,
Leucaena,Leucaena leucocephala wood,Biomass,Wood,Fuwape,1993.0,10.1007/BF00705232,db,16.64,db,,,0.63,13.45,,,,,db,41.71,5.88,51.12,0.6,0.04,,,,,,,,,,,,
Mixed,Mixed sawdust,Biomass,Wood,Li et al.,2004.0,10.1016/S0961-9534(03)00084-9,db,5.45,db,,,2.69,21.7,,,,,db,48.9,7.86,40.3,0.21,0.07,,,,,,,,,,,,
MuliaCoal,Mulia coal,Coal,,Kumabe et al.,2007.0,10.1016/j.fuel.2006.08.026,wb,32.3,wb,30.9,35.7,1.1,30.9,,,,,daf,78.4,3.9,16.5,1.2,0.0,,,,,,,,,,,,
PE,Polyethylene waste,Plastic,,Pinto et al.,2003.0,10.1016/S0016-2361(03)00160-1,,,,,,,46.12,,,,,daf,85.7,14.3,0.0,0.0,0.0,,,,,,,,,,,,
Petcoke,Petroleum coke,Oil,Petcoke,Fermoso et al.,2010.0,10.1016/j.biortech.2009.12.035,,,db,90.1,9.6,0.3,35.1,,,,,daf,87.6,3.8,0.9,1.5,6.2,,,,,,,,,,,,
